Source Course	Target Course	Cosine Similarity
SI 519	BIT 513	0.0614295116834
SI 519	MKT 501	0.0614295116834
SI 519	SI 514	0.0614295116834
SI 519	SI 511	0.0614295116834
SI 519	SI 641	0.0614295116834
SI 519	SI 791	0.0572833150126
SI 519	SI 675	0.0560772154092
SI 519	SI 548	0.0560772154092
SI 519	SI 593	0.0485642931179
SI 519	ELI 320	0.0485642931179
SI 519	SI 549	0.0457868546496
SI 519	SI 683	0.0414157683281
SI 519	SI 689	0.040072194985
SI 519	SI 616	0.0343401409872
SI 519	SI 688	0.0338158332364
SI 519	IOE 536	0.0307147558417
SI 519	SI 530	0.0292853706329
SI 519	SI 624	0.0228934273248
SI 520	SI 682	0.474947836683
SI 520	SI 689	0.425809345271
SI 520	SI 622	0.417028828114
SI 520	SI 658	0.362082420078
SI 520	SI 688	0.359328901638
SI 520	ARCH 531	0.35564337958
SI 520	SI 539	0.354351827131
SI 520	DESCI 502	0.340502612303
SI 520	SI 508	0.329690236698
SI 520	IOE 536	0.326376682884
SI 520	SI 618	0.29488391231
SI 520	SI 601	0.29192017968
SI 520	SI 505	0.287018923941
SI 520	SI 544	0.266485445669
SI 520	MKT 620	0.240771706172
SI 520	SI 681	0.228649531297
SI 520	SI 543	0.220043114712
SI 520	RCIDIV 351	0.208514414057
SI 520	IOE 437	0.208514414057
SI 520	POLSCI 662	0.208514414057
SI 520	NRE 512	0.208514414057
SI 520	ES 615	0.208514414057
SI 520	PSYCH 442	0.208514414057
SI 520	POLSCI 813	0.208514414057
SI 520	SURVMETH 680	0.208514414057
SI 520	CAAS 629	0.208514414057
SI 520	PSYCH 751	0.208514414057
SI 520	BIOSTAT 503	0.208514414057
SI 520	PSYCH 682	0.208514414057
SI 520	PSYCH 644	0.208514414057
SI 520	ANTHRCUL 527	0.208514414057
SI 520	MO 615	0.208514414057
SI 520	MO 611	0.208514414057
SI 520	PSYCH 788	0.208514414057
SI 520	PSYCH 786	0.208514414057
SI 520	DESCI 501	0.208514414057
SI 520	PSYCH 785	0.208514414057
SI 520	SI 840	0.197814142019
SI 520	BIT 551	0.186500961648
SI 520	SI 563	0.186500961648
SI 520	SI 649	0.184302445194
SI 520	BIT 512	0.180578779629
SI 520	SI 631	0.180578779629
SI 520	SI 625	0.171397792548
SI 520	SI 690	0.162576225475
SI 520	MO 700	0.157622081248
SI 520	SI 684	0.151716521227
SI 520	OMS 616	0.147441956155
SI 520	IOE 836	0.147441956155
SI 520	SI 532	0.147441956155
SI 520	PSYCH 614	0.147441956155
SI 520	PSYCH 685	0.147441956155
SI 520	ES 715	0.147441956155
SI 520	ELI 330	0.147441956155
SI 520	MKT 619	0.147441956155
SI 520	STRATEGY 669	0.147441956155
SI 520	ELI 320	0.147441956155
SI 520	SI 533	0.14350946197
SI 520	SI 530	0.133366267342
SI 520	BIT 646	0.131876094679
SI 520	SI 627	0.120385853086
SI 520	PSYCH 619	0.120385853086
SI 520	PSYCH 613	0.120385853086
SI 520	PSYCH 681	0.120385853086
SI 520	ELI 338	0.120385853086
SI 520	BE 501	0.120385853086
SI 520	PSYCH 689	0.104257207029
SI 520	MO 512	0.104257207029
SI 520	PSYCH 988	0.104257207029
SI 520	PUBPOL 687	0.104257207029
SI 520	SI 516	0.104257207029
SI 520	SI 562	0.104257207029
SI 520	PSYCH 808	0.104257207029
SI 520	SI 583	0.0982946374366
SI 520	EDUC 626	0.093250480824
SI 520	BIT 513	0.093250480824
SI 520	MKT 501	0.093250480824
SI 520	SI 511	0.093250480824
SI 520	PSYCH 995	0.093250480824
SI 520	SI 540	0.0921062598117
SI 520	ELI 321	0.0851256530759
SI 520	SI 548	0.0851256530759
SI 520	SI 575	0.0788110406239
SI 520	SI 646	0.0761386987627
SI 520	BIT 648	0.0737209780774
SI 520	SI 701	0.0737209780774
SI 520	SI 507	0.0737209780774
SI 520	RACKHAM 998	0.0659380473396
SI 520	SI 680	0.0659380473396
SI 520	SI 686	0.0659380473396
SI 520	SI 605	0.0628694613462
SI 520	SI 683	0.0628694613462
SI 520	SI 648	0.0578314931966
SI 520	SI 687	0.0578314931966
SI 520	SI 670	0.0538381902058
SI 520	SI 572	0.0521286035143
SI 520	SI 663	0.0478364873235
SI 520	SI 791	0.0434782608696
SI 520	SI 702	0.039405520312
SI 520	SI 654	0.0387201546331
SI 520	SI 551	0.0380693493813
SI 520	SI 792	0.0357599269926
SI 520	SI 579	0.0276184088333
SI 520	SI 596	0.0252860868712
SI 520	SI 643	0.0251021856169
SI 520	SI 580	0.0192771643989
SI 530	SI 676	0.319801074533
SI 530	OMS 616	0.301511344578
SI 530	ENGLISH 549	0.301511344578
SI 530	SI 540	0.282528965609
SI 530	SI 625	0.245349873031
SI 530	SI 681	0.21708919574
SI 530	ACC 315	0.213200716356
SI 530	ACC 312	0.213200716356
SI 530	IOE 437	0.213200716356
SI 530	NRE 512	0.213200716356
SI 530	EECS 381	0.213200716356
SI 530	HMP 669	0.213200716356
SI 530	ES 623	0.213200716356
SI 530	FIN 629	0.213200716356
SI 530	HMP 617	0.213200716356
SI 530	ELI 337	0.213200716356
SI 530	PUBPOL 515	0.213200716356
